title,salary_from,salary_to,currency,url,site
Python-разработчик,,,,https://krasnoyarsk.hh.ru/vacancy/47967656?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Team Lead Python Engineer,,8000,USD,https://krasnoyarsk.hh.ru/vacancy/48251626?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Разработчик Python (средний уровень),3000,4000,USD,https://krasnoyarsk.hh.ru/vacancy/47612111?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Middle Python developer,,,,https://krasnoyarsk.hh.ru/vacancy/48217396?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Python - разработчик в Сбере,300000,,руб,https://krasnoyarsk.hh.ru/vacancy/47950109?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Старший программист Python,4000,5000,USD,https://krasnoyarsk.hh.ru/vacancy/47973022?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Data Engineer в Сбере,300000,,руб,https://krasnoyarsk.hh.ru/vacancy/47948692?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Web-программист Python (Middle/Senior),170000,,руб,https://krasnoyarsk.hh.ru/vacancy/47228261?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Senior data engineer (python),4000,6000,USD,https://krasnoyarsk.hh.ru/vacancy/48151582?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
Data Scientist,200000,,руб,https://krasnoyarsk.hh.ru/vacancy/48101680?from=vacancy_search_list&query=Python,https://krasnoyarsk.hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&st=searchVacancy&text=Python
